sku,capacity,depth,lid,additional,top_out_a,top_out_b,top_in_a,top_in_b,base_a,base_b,edge,category
ds300h,300.0,42.0,,,159.0,104.0,120.0,90.0,101.0,71.0,,DeLight
2804pl,280.0,32.0,No matching lid.,,114.0,114.0,101.0,101.0,90.0,90.0,Rolled Edge,Square
2463pl,270.0,34.0,No matching lid.,,127.0,127.0,112.0,112.0,89.0,89.0,Rolled Edge,Rounds
542rpl,270.0,35.0,No matching lid.,,124.0,124.0,112.0,112.0,87.0,87.0,Rolled Edge,Rounds
2515pl,260.0,39.0,No matching lid.,,112.0,112.0,98.0,98.0,86.0,86.0,Rolled Edge,Rounds
3050pl,252.0,47.0,No matching lid.,,105.0,105.0,95.0,95.0,73.0,73.0,Rolled Edge,Basins
3050plvf,252.0,47.0,,,102.0,102.0,95.0,95.0,73.0,73.0,Vertical Flange,Basins
3213pl,250.0,34.0,No matching lid.,,122.0,96.0,111.0,85.0,93.0,67.0,Interrupted Vertical Curl,Rectangular
3212pl,250.0,34.0,,,127.0,101.0,111.0,85.0,93.0,67.0,Interrupted Vertical Curl,Rectangular
2514pl,244.0,35.0,No matching lid.,,122.0,122.0,106.0,106.0,81.0,81.0,Rolled Edge,Rounds
1825pl,212.0,21.0,No matching lid.,,149.0,149.0,137.0,137.0,92.0,92.0,Rolled Edge,Saucers
2512pl,204.0,30.0,No matching lid.,,119.0,119.0,103.0,103.0,83.0,83.0,Rolled Edge,Rounds
2550pl,390.0,25.0,No matching lid.,,157.0,157.0,146.0,146.0,134.0,134.0,Hemmed Edge,Rounds
2227pl,385.0,19.0,No matching lid.,,195.0,195.0,185.0,185.0,171.0,171.0,Rolled Edge,Flans Non-Fluted
617ppl,384.0,28.0,No matching lid.,,169.0,169.0,150.0,150.0,116.0,116.0,Rolled Edge,Plates
620ppl,380.0,23.0,No matching lid.,,178.0,178.0,163.0,163.0,129.0,129.0,Rolled Edge,Plates
3283pl,380.0,30.0,,,200.0,130.0,188.0,118.0,171.0,101.0,Interrupted Vertical Curl,Compartmental
2224pl,378.0,25.0,No matching lid.,,162.0,162.0,144.0,144.0,135.0,135.0,Rolled Edge,Flans Non-Fluted
ds370,370.0,35.0,,,175.0,104.0,162.0,92.0,148.0,74.0,,DeLight
3218pl,365.0,31.0,No matching lid.,,141.0,116.0,129.0,103.0,115.0,89.0,Rolled Edge,Rectangular
330spl,365.0,48.0,,,178.0,90.0,164.0,76.0,151.0,63.0,Reversed Rolled Edge,Oval
116fpl,360.0,20.0,No matching lid.,,164.0,164.0,154.0,154.0,149.0,149.0,Rolled Edge,Flans Non-Fluted
108fpl,350.0,24.0,No matching lid.,,164.0,164.0,152.0,152.0,142.0,142.0,Rolled Edge,Flans Fluted
2472pl,350.0,32.0,No matching lid.,,151.0,151.0,140.0,140.0,100.0,100.0,Rolled Edge,Rounds
613ppl,350.0,16.0,No matching lid.,,191.0,191.0,175.0,175.0,143.0,143.0,Rolled Edge,Plates
1300spl,338.0,20.0,,,179.0,142.0,155.0,118.0,149.0,112.0,Reversed Rolled Edge,Rectangular
ds330,330.0,47.0,,,134.0,104.0,120.0,90.0,92.0,62.0,,DeLight
206tpl,330.0,26.0,No matching lid.,,162.0,108.0,149.0,95.0,140.0,86.0,Rolled Edge,Rectangular
2658pl,456.0,38.0,No matching lid.,,194.0,146.0,164.0,115.0,118.0,70.0,Rolled Edge,Oblong
619ppl,452.0,22.0,No matching lid.,,186.0,186.0,172.0,172.0,150.0,150.0,Rolled Edge,Plates
725-opl,450.0,35.0,No matching lid.,,186.0,143.0,164.0,122.0,141.0,99.0,Rolled Edge,Ovals
ds450,450.0,28.0,,,195.0,128.0,181.0,114.0,163.0,96.0,,DeLight
726-opl,450.0,38.0,No matching lid.,,186.0,143.0,165.0,122.0,141.0,98.0,Rolled Edge,Ovals
2236pl,440.0,27.0,No matching lid.,,170.0,170.0,157.0,157.0,144.0,144.0,Rolled Edge,Flans Non-Fluted
2233pl,440.0,26.0,No matching lid.,,165.0,165.0,155.0,155.0,145.0,145.0,Rolled Edge,Flans Non-Fluted
2232pl,440.0,27.0,No matching lid.,,164.0,164.0,154.0,154.0,144.0,144.0,Rolled Edge,Flans Non-Fluted
3305pl,440.0,29.0,No matching lid.,,166.0,128.0,149.0,110.0,131.0,93.0,Rolled Edge,Rectangular
205tpl,440.0,40.0,,,145.0,120.0,128.0,103.0,108.0,83.0,Interrupted Vertical Curl,Rectangular
3070pl,436.0,64.0,No matching lid.,,120.0,120.0,110.0,110.0,70.0,70.0,Rolled Edge,Basins
3070plvf,436.0,64.0,,,115.0,115.0,110.0,110.0,70.0,70.0,Vertical Flange,Basins
3106pl,430.0,62.0,No matching lid.,,124.0,124.0,107.0,107.0,67.0,67.0,Rolled Edge,Basins
2353pl,430.0,23.0,No matching lid.,,174.0,174.0,158.0,158.0,147.0,147.0,Rolled Edge,Rounds
2050pl,428.0,17.0,No matching lid.,,227.0,227.0,198.0,198.0,167.0,167.0,Rolled Edge,Plates
1301spl,425.0,32.0,,,162.0,118.0,149.0,105.0,144.0,100.0,Reversed Rolled Edge,Rectangular
112fpl,500.0,27.0,No matching lid.,,171.0,171.0,162.0,162.0,148.0,148.0,Rolled Edge,Flans Fluted
